Vector,Funcion Objetivo
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
"[4095, 4095, 4095, 4095]",16380
